report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2019-12-03T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1425,2151,0,0,2983,2019-12-03,-726,0
2019-12-10T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1566,2447,0,0,3232,2019-12-10,-881,0
2019-12-17T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2045,3221,0,0,3840,2019-12-17,-1176,0
2019-12-24T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1725,3053,0,0,3541,2019-12-24,-1328,0
2019-12-31T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1699,2728,0,0,3186,2019-12-31,-1029,0
2020-01-07T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3385,4820,0,0,5400,2020-01-07,-1435,0
2020-01-14T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3368,4728,0,0,5405,2020-01-14,-1360,0
2020-01-21T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2992,4390,0,0,5139,2020-01-21,-1398,0
2020-01-28T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2623,4156,0,0,4917,2020-01-28,-1533,0
2020-02-04T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2317,3788,0,0,4367,2020-02-04,-1471,0
2020-02-11T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3604,5284,0,0,6106,2020-02-11,-1680,0
2020-02-18T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,4366,5774,0,0,6463,2020-02-18,-1408,0
2020-02-25T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3750,4916,0,0,5632,2020-02-25,-1166,0
2020-03-03T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2227,3809,0,0,4837,2020-03-03,-1582,0
2020-03-10T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2384,3430,0,0,4368,2020-03-10,-1046,0
2020-03-17T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2890,3876,0,0,4474,2020-03-17,-986,0
2020-03-24T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2266,3138,0,0,3909,2020-03-24,-872,0
2020-03-31T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2598,3303,0,0,3947,2020-03-31,-705,0
2020-04-07T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3380,4790,0,0,5448,2020-04-07,-1410,0
2020-04-14T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3369,4875,0,0,5538,2020-04-14,-1506,0
2020-04-21T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3409,4942,0,0,5648,2020-04-21,-1533,0
2020-04-28T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3634,5228,0,0,6111,2020-04-28,-1594,0
2020-05-05T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,5006,6731,0,0,7784,2020-05-05,-1725,0
2020-05-12T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6606,8937,31,0,9939,2020-05-12,-2331,31
2020-05-19T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,7342,9926,34,0,10878,2020-05-19,-2584,34
2020-05-26T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6034,7684,0,0,8722,2020-05-26,-1650,0
2020-06-02T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,5914,8066,35,0,8824,2020-06-02,-2152,35
2020-06-09T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6817,8760,32,0,9565,2020-06-09,-1943,32
2020-06-16T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6382,7946,0,0,8784,2020-06-16,-1564,0
2020-06-23T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6640,8437,0,0,9330,2020-06-23,-1797,0
2020-06-30T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,5696,6922,0,0,7675,2020-06-30,-1226,0
2020-07-07T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6020,7505,0,0,8165,2020-07-07,-1485,0
2020-07-14T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6323,7633,0,0,8322,2020-07-14,-1310,0
2020-07-21T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6824,8524,0,0,9230,2020-07-21,-1700,0
2020-07-28T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,8809,12053,111,0,13068,2020-07-28,-3244,111
2020-08-04T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,8717,11972,177,0,12703,2020-08-04,-3255,177
2020-08-11T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,8456,11537,137,0,13090,2020-08-11,-3081,137
2020-08-18T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,8632,12182,200,0,14454,2020-08-18,-3550,200
2020-08-25T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6917,9074,175,0,11615,2020-08-25,-2157,175
2020-09-01T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6780,9339,183,0,10617,2020-09-01,-2559,183
2020-09-08T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,4643,6953,100,0,8198,2020-09-08,-2310,100
2020-09-15T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,5122,8002,67,0,9383,2020-09-15,-2880,67
2020-09-22T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,4078,6554,67,0,8426,2020-09-22,-2476,67
2020-09-29T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,4119,6170,0,70,7324,2020-09-29,-2051,-70
2020-10-06T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,4460,6595,0,70,7511,2020-10-06,-2135,-70
2020-10-13T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,5902,8307,0,70,9353,2020-10-13,-2405,-70
2020-10-20T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,7330,9991,28,70,10896,2020-10-20,-2661,-42
2020-10-27T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,8550,11873,261,0,12665,2020-10-27,-3323,261
2020-11-03T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,7552,10628,166,70,11278,2020-11-03,-3076,96
2020-11-10T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,8057,10353,122,70,11311,2020-11-10,-2296,52
2020-11-17T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,7915,10426,168,70,11509,2020-11-17,-2511,98
2020-11-24T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,8285,10737,205,70,12336,2020-11-24,-2452,135
2020-12-01T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,7387,10389,218,89,11812,2020-12-01,-3002,129
2020-12-08T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6880,10102,408,83,11750,2020-12-08,-3222,325
2020-12-15T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6400,9360,502,70,11370,2020-12-15,-2960,432
2020-12-21T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,7308,10998,565,90,12603,2020-12-21,-3690,475
2020-12-29T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,6448,9281,478,90,10653,2020-12-29,-2833,388
