report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2018-01-30T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,75296,41831,56192,113618,176871,2018-01-30,33465,-57426
2018-02-06T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,69492,29328,55913,116475,167890,2018-02-06,40164,-60562
2018-02-13T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,62535,30006,52333,102577,155262,2018-02-13,32529,-50244
2018-02-20T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,49373,26246,52401,95370,144832,2018-02-20,23127,-42969
2018-02-27T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,54279,32059,48621,86754,145351,2018-02-27,22220,-38133
2018-03-06T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,54233,34668,46346,68976,139318,2018-03-06,19565,-22630
2018-03-13T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,59919,40499,50424,73576,154478,2018-03-13,19420,-23152
2018-03-20T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,78744,54184,64019,85763,180240,2018-03-20,24560,-21744
2018-03-27T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,33518,60568,63273,30405,127568,2018-03-27,-27050,32868
2018-04-03T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,29558,61430,64223,31105,127509,2018-04-03,-31872,33118
2018-04-10T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,28027,59699,63718,32275,124621,2018-04-10,-31672,31443
2018-04-17T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,28575,58899,62509,39619,128174,2018-04-17,-30324,22890
2018-04-24T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,23559,48703,61316,39466,120406,2018-04-24,-25144,21850
2018-05-01T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,25940,53475,62784,33539,121676,2018-05-01,-27535,29245
2018-05-08T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,33156,57017,63390,35913,128877,2018-05-08,-23861,27477
2018-05-15T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,30419,54075,64838,37415,128708,2018-05-15,-23656,27423
2018-05-22T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,23555,49767,71081,47695,136118,2018-05-22,-26212,23386
2018-05-29T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,32696,48386,81293,62316,147495,2018-05-29,-15690,18977
2018-06-05T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,35266,51305,90417,70056,158317,2018-06-05,-16039,20361
2018-06-12T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,30168,45156,89911,69870,156985,2018-06-12,-14988,20041
2018-06-19T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,45738,59752,85775,92059,190384,2018-06-19,-14014,-6284
2018-06-26T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,40866,73665,86272,45363,159233,2018-06-26,-32799,40909
2018-07-03T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,26934,76382,100077,41926,158341,2018-07-03,-49448,58151
2018-07-10T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,26586,79473,101315,42120,159504,2018-07-10,-52887,59195
2018-07-17T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,25594,73078,101031,42490,157927,2018-07-17,-47484,58541
2018-07-24T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,20084,64595,97689,48540,151441,2018-07-24,-44511,49149
2018-07-31T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,23679,55248,84857,49753,140253,2018-07-31,-31569,35104
2018-08-07T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,33269,58167,79517,49789,144934,2018-08-07,-24898,29728
2018-08-14T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,30627,56825,80789,49506,144705,2018-08-14,-26198,31283
2018-08-21T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,32271,59292,79257,52465,145677,2018-08-21,-27021,26792
2018-08-28T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,34111,58900,78787,53377,147679,2018-08-28,-24789,25410
2018-09-04T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,34748,61055,83790,53216,151238,2018-09-04,-26307,30574
2018-09-11T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,30506,57448,97457,62750,158974,2018-09-11,-26942,34707
2018-09-18T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,25979,56090,92956,35472,150538,2018-09-18,-30111,57484
2018-09-25T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,31812,51344,51398,34867,115727,2018-09-25,-19532,16531
2018-10-02T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,41940,60424,48865,38578,127333,2018-10-02,-18484,10287
2018-10-09T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,38867,51012,49286,41083,121489,2018-10-09,-12145,8203
2018-10-16T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,32202,43221,49320,42446,115386,2018-10-16,-11019,6874
2018-10-23T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,32031,39259,53794,45636,118053,2018-10-23,-7228,8158
2018-10-30T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,29436,39091,56057,47585,118508,2018-10-30,-9655,8472
2018-11-06T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,33753,36385,49033,48112,116284,2018-11-06,-2632,921
2018-11-13T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,36773,39564,53110,47212,121999,2018-11-13,-2791,5898
2018-11-20T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,39059,45348,68576,57302,140651,2018-11-20,-6289,11274
2018-11-27T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,41427,50057,71616,56020,145122,2018-11-27,-8630,15596
2018-12-04T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,38736,51672,83381,64076,156750,2018-12-04,-12936,19305
2018-12-11T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,41672,53341,84808,62493,161530,2018-12-11,-11669,22315
2018-12-18T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,51566,59023,108148,69667,191476,2018-12-18,-7457,38481
2018-12-24T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,27887,72579,99624,46527,159195,2018-12-24,-44692,53097
