report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2021-03-16T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,13297,8626,15984,6971,37985,2021-03-16,4671,9013
2021-03-23T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,12458,9586,16211,7162,38302,2021-03-23,2872,9049
2021-03-30T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,16086,11817,17012,7055,42770,2021-03-30,4269,9957
2021-04-06T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,15690,12445,18970,8184,43677,2021-04-06,3245,10786
2021-04-13T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,12965,12141,19426,8795,42423,2021-04-13,824,10631
2021-04-20T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,11264,12906,20329,8053,41266,2021-04-20,-1642,12276
2021-04-27T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,11116,11802,19301,9250,40783,2021-04-27,-686,10051
2021-05-04T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,10276,10220,18260,10553,39526,2021-05-04,56,7707
2021-05-11T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,10381,13232,17103,12025,41585,2021-05-11,-2851,5078
2021-05-18T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,11115,15380,17781,12779,44162,2021-05-18,-4265,5002
2021-05-25T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,12223,13426,17997,14318,43521,2021-05-25,-1203,3679
2021-06-01T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,13940,13616,17008,16869,46004,2021-06-01,324,139
2021-06-08T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,12649,11573,19564,21735,49202,2021-06-08,1076,-2171
2021-06-15T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,14875,5488,7231,15627,37057,2021-06-15,9387,-8396
2021-06-22T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,20980,7428,10103,16188,41889,2021-06-22,13552,-6085
2021-06-29T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,18941,7876,12669,15910,42684,2021-06-29,11065,-3241
2021-07-06T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,19230,9068,15763,16209,44739,2021-07-06,10162,-446
2021-07-13T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,18074,10937,18707,16482,45704,2021-07-13,7137,2225
2021-07-20T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,18061,10019,18646,14850,44735,2021-07-20,8042,3796
2021-07-27T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,18262,9773,17602,15945,44784,2021-07-27,8489,1657
2021-08-03T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,16522,8979,13804,14788,42456,2021-08-03,7543,-984
2021-08-10T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,18537,8859,17089,15163,45159,2021-08-10,9678,1926
2021-08-17T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,14354,8807,19211,15934,44005,2021-08-17,5547,3277
2021-08-24T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,14608,10514,18206,14914,43703,2021-08-24,4094,3292
2021-08-31T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,14259,10284,18116,15375,43060,2021-08-31,3975,2741
2021-09-07T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,11671,11451,21419,12630,44573,2021-09-07,220,8789
2021-09-14T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,6170,12048,30053,12479,45513,2021-09-14,-5878,17574
2021-09-21T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,7447,16664,40201,15704,56838,2021-09-21,-9217,24497
2021-09-28T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,6734,18321,42675,14617,58506,2021-09-28,-11587,28058
2021-10-05T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2274,17953,44633,15047,55970,2021-10-05,-15679,29586
2021-10-12T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,3560,16532,45327,15364,57341,2021-10-12,-12972,29963
2021-10-19T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2365,19949,44662,11309,55600,2021-10-19,-17584,33353
2021-10-26T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1246,20625,43355,10993,54305,2021-10-26,-19379,32362
2021-11-02T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1439,22087,36456,10959,51613,2021-11-02,-20648,25497
2021-11-09T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,4690,21733,32499,11965,51546,2021-11-09,-17043,20534
2021-11-16T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,5502,14391,31663,12896,49320,2021-11-16,-8889,18767
2021-11-23T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,6241,17617,34403,12881,52412,2021-11-23,-11376,21522
2021-11-30T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,3927,18109,33377,12202,50543,2021-11-30,-14182,21175
2021-12-07T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2838,14891,33542,13196,51229,2021-12-07,-12053,20346
2021-12-14T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1344,9680,25786,10978,38467,2021-12-14,-8336,14808
2021-12-21T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2460,11687,27344,11399,40920,2021-12-21,-9227,15945
2021-12-28T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1043,11761,26286,11060,40122,2021-12-28,-10718,15226
2022-01-04T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,4510,14039,26204,11576,42251,2022-01-04,-9529,14628
2022-01-11T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,4571,12231,27897,12298,42713,2022-01-11,-7660,15599
2022-01-18T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,925,11735,26828,13029,39871,2022-01-18,-10810,13799
2022-01-25T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1999,10795,27591,14112,39742,2022-01-25,-8796,13479
