report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2014-06-17T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,17832,85870,118464,22791,153007,2014-06-17,-68038,95673
2014-06-24T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,10325,81548,120767,23589,148257,2014-06-24,-71223,97178
2014-07-01T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,18739,77425,111566,38203,156480,2014-07-01,-58686,73363
2014-07-08T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,11174,77549,123987,39057,157710,2014-07-08,-66375,84930
2014-07-15T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,8385,71333,126301,44365,155127,2014-07-15,-62948,81936
2014-07-22T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,11979,65895,126976,53840,162029,2014-07-22,-53916,73136
2014-07-29T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,7828,80897,144166,45367,172210,2014-07-29,-73069,98799
2014-08-05T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,9896,105295,165996,31496,192906,2014-08-05,-95399,134500
2014-08-12T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,12518,93615,162443,50515,192140,2014-08-12,-81097,111928
2014-08-19T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,17976,105247,169000,41658,203180,2014-08-19,-87271,127342
2014-08-26T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,19512,122403,181291,32177,218009,2014-08-26,-102891,149114
2014-09-02T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,15485,132793,196512,33081,230937,2014-09-02,-117308,163431
2014-09-09T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,17280,117953,203368,56189,255624,2014-09-09,-100673,147179
2014-09-16T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,37617,120799,157321,27095,208235,2014-09-16,-83182,130226
2014-09-23T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,28391,133813,174766,27983,222214,2014-09-23,-105422,146783
2014-09-30T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,29910,150788,192095,29618,239477,2014-09-30,-120878,162477
2014-10-07T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,24837,137388,174647,26205,223255,2014-10-07,-112551,148442
2014-10-14T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,22839,123986,170600,31438,212420,2014-10-14,-101147,139162
2014-10-21T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,26634,98372,140081,33149,185412,2014-10-21,-71738,106932
2014-10-28T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,23883,91282,139790,38583,184120,2014-10-28,-67399,101207
2014-11-04T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,37917,109568,150672,34836,207974,2014-11-04,-71651,115836
2014-11-11T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,47271,129834,161168,36695,227576,2014-11-11,-82563,124473
2014-11-18T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,46612,139066,171130,38295,238898,2014-11-18,-92454,132835
2014-11-25T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,46304,150684,184551,37568,253976,2014-11-25,-104380,146983
2014-12-02T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,41530,152690,192591,35841,257828,2014-12-02,-111160,156750
2014-12-09T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,38067,142203,207616,62695,279859,2014-12-09,-104136,144921
2014-12-16T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,45652,132579,161934,31809,227685,2014-12-16,-86927,130125
2014-12-23T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,29021,122763,176015,38120,226107,2014-12-23,-93742,137895
2014-12-30T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,28836,125155,174779,38377,226629,2014-12-30,-96319,136402
2015-01-06T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,33160,123243,172310,41593,228954,2015-01-06,-90083,130717
2015-01-13T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,25872,120497,182073,47978,231223,2015-01-13,-94625,134095
2015-01-20T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,26525,104411,164972,48783,215413,2015-01-20,-77886,116189
2015-01-27T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,26526,91184,155145,54103,202571,2015-01-27,-64658,101042
2015-02-03T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,25586,85157,157407,61268,203963,2015-02-03,-59571,96139
2015-02-10T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,25884,81008,160293,59335,204193,2015-02-10,-55124,100958
