report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2013-06-25T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,5377,6088,4617,1357,11632,2013-06-25,-711,3260
2013-07-02T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,5288,6462,5151,1481,12384,2013-07-02,-1174,3670
2013-07-09T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,5390,6398,5003,1494,12512,2013-07-09,-1008,3509
2013-07-16T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,4224,6968,6403,1656,12904,2013-07-16,-2744,4747
2013-07-23T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,4517,6363,6125,2243,12613,2013-07-23,-1846,3882
2013-07-30T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,5593,6113,3916,2747,12153,2013-07-30,-520,1169
2013-08-06T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,4595,6134,4667,1899,11572,2013-08-06,-1539,2768
2013-08-13T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,6632,6435,2725,2607,11976,2013-08-13,197,118
2013-08-20T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9760,7370,1066,3612,13500,2013-08-20,2390,-2546
2013-08-27T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,7463,7211,2092,2292,12193,2013-08-27,252,-200
2013-09-03T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,6384,7181,4609,2732,13105,2013-09-03,-797,1877
2013-09-10T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,8068,8669,4501,3656,15097,2013-09-10,-601,845
2013-09-17T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,12463,6806,913,7042,15842,2013-09-17,5657,-6129
2013-09-24T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,15470,7415,845,10382,19621,2013-09-24,8055,-9537
2013-10-01T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,17706,6815,911,14017,22577,2013-10-01,10891,-13106
2013-10-08T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,18343,7577,1074,13650,23230,2013-10-08,10766,-12576
2013-10-15T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,19379,6711,1317,16118,24608,2013-10-15,12668,-14801
2013-10-22T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,21349,8235,1634,17331,27336,2013-10-22,13114,-15697
2013-10-29T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,17705,7080,1964,14552,23564,2013-10-29,10625,-12588
2013-11-05T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,16937,7229,1603,12732,22367,2013-11-05,9708,-11129
2013-11-12T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,16814,6448,1664,13288,21996,2013-11-12,10366,-11624
2013-11-19T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,18940,6464,1910,15519,24450,2013-11-19,12476,-13609
