report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2013-07-16T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,53228,90393,126783,65982,220137,2013-07-16,-37165,60801
2013-07-23T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,63130,91030,109572,68740,219429,2013-07-23,-27900,40832
2013-07-30T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,78211,86715,96694,73239,222957,2013-07-30,-8504,23455
2013-08-06T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,85239,79178,90858,86556,228726,2013-08-06,6061,4302
2013-08-13T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,89984,73927,85283,87207,225665,2013-08-13,16057,-1924
2013-08-20T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,113092,76346,78210,109391,249660,2013-08-20,36746,-31181
2013-08-27T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,113592,73511,78540,114408,248672,2013-08-27,40081,-35868
2013-09-03T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,98589,75851,99298,107939,244563,2013-09-03,22738,-8641
2013-09-10T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,82772,70076,122829,123285,257969,2013-09-10,12696,-456
2013-09-17T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,100963,69056,73890,94356,218264,2013-09-17,31907,-20466
2013-09-24T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,129862,64018,72759,138915,254464,2013-09-24,65844,-66156
2013-10-01T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,128580,60304,73837,140700,255067,2013-10-01,68276,-66863
2013-10-08T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,127301,58618,81614,147287,263859,2013-10-08,68683,-65673
2013-10-15T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,121327,60953,84477,138835,257199,2013-10-15,60374,-54358
2013-10-22T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,137061,64627,82406,153006,278139,2013-10-22,72434,-70600
2013-10-29T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,136054,65437,87462,156340,282923,2013-10-29,70617,-68878
2013-11-05T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,103333,70190,93269,124922,252554,2013-11-05,33143,-31653
2013-11-12T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,86121,69295,97194,93189,229166,2013-11-12,16826,4005
2013-11-19T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,81070,72159,105889,95999,232326,2013-11-19,8911,9890
2013-11-26T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,74118,74549,120631,99633,243049,2013-11-26,-431,20998
2013-12-03T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,82230,72918,120205,109636,253653,2013-12-03,9312,10569
