report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2012-06-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,181259,48944,147076,305866,412244,2012-06-12,132315,-158790
2012-06-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,184393,47989,150812,314503,418492,2012-06-19,136404,-163691
2012-06-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,174589,51970,155729,299889,413618,2012-06-26,122619,-144160
2012-07-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,187263,50048,154926,321563,425068,2012-07-03,137215,-166637
2012-07-10T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,182156,55921,163399,316165,429854,2012-07-10,126235,-152766
2012-07-17T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,180474,51515,162570,321389,431317,2012-07-17,128959,-158819
2012-07-24T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,166085,53108,166448,302693,420296,2012-07-24,112977,-136245
2012-07-31T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,171331,45267,155355,311367,403403,2012-07-31,126064,-156012
2012-08-07T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,163082,47582,149011,295429,388254,2012-08-07,115500,-146418
2012-08-14T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,161435,47131,147418,291358,388187,2012-08-14,114304,-143940
2012-08-21T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,170780,40096,137903,309125,398747,2012-08-21,130684,-171222
2012-08-28T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,194680,36189,139050,342674,426559,2012-08-28,158491,-203624
2012-09-04T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,204945,34481,139746,359132,444489,2012-09-04,170464,-219386
2012-09-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,214403,32387,143148,380239,460531,2012-09-11,182016,-237091
2012-09-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,224988,33873,148802,398435,478609,2012-09-18,191115,-249633
2012-09-25T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,233994,30098,144506,406861,489516,2012-09-25,203896,-262355
2012-10-02T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,239434,31108,136250,405520,480908,2012-10-02,208326,-269270
2012-10-09T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,247401,35452,131714,398702,484359,2012-10-09,211949,-266988
2012-10-16T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,232988,38968,129500,376883,462826,2012-10-16,194020,-247383
2012-10-23T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,222095,40052,132859,365524,455836,2012-10-23,182043,-232665
2012-10-30T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,207532,37310,144346,367110,454742,2012-10-30,170222,-222764
2012-11-06T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,196504,36331,144788,352530,447154,2012-11-06,160173,-207742
2012-11-13T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,207847,36253,144488,369283,459761,2012-11-13,171594,-224795
2012-11-20T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,217433,36618,145098,381162,474129,2012-11-20,180815,-236064
2012-11-27T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,228431,28024,141117,399829,479373,2012-11-27,200407,-258712
2012-12-04T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,202177,36441,135887,353483,434416,2012-12-04,165736,-217596
2012-12-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,201955,38256,135772,350652,433586,2012-12-11,163699,-214880
2012-12-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,202641,44860,137780,339914,435742,2012-12-18,157781,-202134
2012-12-24T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,200436,50340,139479,327143,426300,2012-12-24,150096,-187664
2012-12-31T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,198660,50141,143210,331869,427991,2012-12-31,148519,-188659
2013-01-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,193869,51061,152103,330575,441304,2013-01-08,142808,-178472
2013-01-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,192955,47839,156010,341123,447773,2013-01-15,145116,-185113
2013-01-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,195795,43898,153048,348998,461369,2013-01-22,151897,-195950
2013-01-29T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,181103,54155,159776,326873,430718,2013-01-29,126948,-167097
2013-02-05T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,192806,55341,145291,319898,423982,2013-02-05,137465,-174607
2013-02-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,193941,67106,154573,315226,435088,2013-02-12,126835,-160653
2013-02-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,195870,92219,158900,290982,447290,2013-02-19,103651,-132082
2013-02-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,201956,85357,151145,288765,433858,2013-02-26,116599,-137620
2013-03-05T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,195248,87661,150453,284251,434586,2013-03-05,107587,-133798
2013-03-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,201617,87110,149550,291671,445651,2013-03-12,114507,-142121
2013-03-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,208895,73285,136677,299041,440712,2013-03-19,135610,-162364
2013-03-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,200389,67943,139588,298061,419727,2013-03-26,132446,-158473
2013-04-02T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,202634,82428,137205,279727,417176,2013-04-02,120206,-142522
2013-04-09T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,203812,84453,135855,279657,416513,2013-04-09,119359,-143802
2013-04-16T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,204677,75795,144522,286451,413083,2013-04-16,128882,-141929
2013-04-23T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,197188,92933,156131,260519,415074,2013-04-23,104255,-104388
2013-04-30T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,193310,96258,170211,265774,421087,2013-04-30,97052,-95563
2013-05-07T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,189343,99920,186671,274390,437931,2013-05-07,89423,-87719
2013-05-14T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,186921,103195,190502,274648,443806,2013-05-14,83726,-84146
2013-05-21T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,189401,109142,192147,276269,446087,2013-05-21,80259,-84122
2013-05-28T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,172565,115686,171995,231216,411001,2013-05-28,56879,-59221
2013-06-04T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,170971,109771,147497,209149,373061,2013-06-04,61200,-61652
2013-06-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,174015,115010,146470,204792,373844,2013-06-11,59005,-58322
2013-06-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,166771,123079,155303,199418,377106,2013-06-18,43692,-44115
2013-06-25T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,164901,130749,164958,200166,390647,2013-06-25,34152,-35208
2013-07-02T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,158712,137961,186385,209161,410399,2013-07-02,20751,-22776
2013-07-09T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,160214,143657,202617,221658,431574,2013-07-09,16557,-19041
2013-07-16T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,156571,133109,222746,247353,440283,2013-07-16,23462,-24607
2013-07-23T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,161197,127006,210233,244929,434750,2013-07-23,34191,-34696
2013-07-30T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,154519,126153,188832,214606,397035,2013-07-30,28366,-25774
2013-08-06T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,153812,102177,187636,241795,396062,2013-08-06,51635,-54159
2013-08-13T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,148524,94598,184321,245195,390547,2013-08-13,53926,-60874
2013-08-20T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,151348,90952,176610,244275,385410,2013-08-20,60396,-67665
2013-08-27T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,150074,71785,175698,263336,384102,2013-08-27,78289,-87638
2013-09-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,151951,73760,177861,270322,388584,2013-09-03,78191,-92461
2013-09-10T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,141506,72782,184972,265196,384164,2013-09-10,68724,-80224
2013-09-17T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,138956,80160,188729,254066,384592,2013-09-17,58796,-65337
2013-09-24T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,140468,73329,183688,255215,378216,2013-09-24,67139,-71527
2013-10-01T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,141541,68494,179659,257787,374151,2013-10-01,73047,-78128
2013-10-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,140207,57890,176330,266746,370406,2013-10-08,82317,-90416
2013-10-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,139663,77730,188890,253714,381727,2013-10-15,61933,-64824
2013-10-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,147835,71170,183393,265541,390369,2013-10-22,76665,-82148
2013-10-29T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,153409,53173,174866,281653,387166,2013-10-29,100236,-106787
2013-11-05T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,149031,57895,178714,272614,386796,2013-11-05,91136,-93900
2013-11-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,144062,82710,190317,256102,403840,2013-11-12,61352,-65785
2013-11-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,140853,92733,190106,241621,397590,2013-11-19,48120,-51515
2013-11-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,133414,106859,196011,224247,394432,2013-11-26,26555,-28236
2013-12-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,134546,111855,190092,212391,386436,2013-12-03,22691,-22299
2013-12-10T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,133866,107486,183319,212281,377313,2013-12-10,26380,-28962
2013-12-17T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,133068,107164,191045,218144,385432,2013-12-17,25904,-27099
2013-12-24T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,135390,108051,188511,215029,384974,2013-12-24,27339,-26518
2013-12-31T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,137182,104959,182101,215122,379550,2013-12-31,32223,-33021
2014-01-07T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,139244,100357,179334,221218,383021,2014-01-07,38887,-41884
2014-01-14T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,145857,101844,199650,244905,415426,2014-01-14,44013,-45255
2014-01-21T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,146018,99435,200101,246192,410959,2014-01-21,46583,-46091
2014-01-28T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,150158,83817,176630,241609,382739,2014-01-28,66341,-64979
2014-02-04T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,147754,82815,165354,231136,368279,2014-02-04,64939,-65782
2014-02-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,156786,85585,162156,234810,376973,2014-02-11,71201,-72654
2014-02-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,164478,79847,159449,251200,390535,2014-02-18,84631,-91751
2014-02-25T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,169870,60406,155969,272632,387503,2014-02-25,109464,-116663
2014-03-04T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,171404,56238,157838,278987,393266,2014-03-04,115166,-121149
2014-03-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,170482,51592,163920,289287,415340,2014-03-11,118890,-125367
2014-03-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,183324,46510,164293,310227,420626,2014-03-18,136814,-145934
2014-03-25T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,169083,51766,159979,287600,398264,2014-03-25,117317,-127621
2014-04-01T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,158152,58007,143575,257604,363451,2014-04-01,100145,-114029
2014-04-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,149693,61094,151954,253697,365400,2014-04-08,88599,-101743
2014-04-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,147432,68140,157917,245522,369577,2014-04-15,79292,-87605
2014-04-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,146880,65047,162799,253325,372593,2014-04-22,81833,-90526
2014-04-29T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,147769,62542,162815,259986,378092,2014-04-29,85227,-97171
2014-05-06T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,160982,63026,167794,278265,404700,2014-05-06,97956,-110471
2014-05-13T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,157176,65542,164941,267262,397029,2014-05-13,91634,-102321
2014-05-20T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,157398,60907,164289,270299,399371,2014-05-20,96491,-106010
2014-05-27T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,155615,82224,162078,240716,397695,2014-05-27,73391,-78638
2014-06-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,157332,98181,159545,222989,382141,2014-06-03,59151,-63444
2014-06-10T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,159567,98440,156553,219703,378689,2014-06-10,61127,-63150
2014-06-17T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,162052,83757,157023,235348,379843,2014-06-17,78295,-78325
