date,IBIT,total_dv
2024-03-25,2617989050.743103,6124616279.741608
2024-03-26,1757646029.372406,3576468139.0804367
2024-03-27,1829206246.931076,3828827884.097374
2024-03-28,1805803830.46875,3679819247.1692123
2024-04-01,1377417000.0,3040189427.971607
2024-04-02,1281159788.0081177,2864151144.2047577
2024-04-03,1103203022.9049685,2314439525.152565
2024-04-04,1726769420.906067,3464712079.461384
2024-04-05,1101233900.625229,2376995273.548847
2024-04-08,1640321895.5608368,3152917958.782814
2024-04-09,1396753886.0275269,2896198088.6086082
2024-04-10,1556320000.0,3060703548.5353317
2024-04-11,1113733284.2330933,2511499195.662651
2024-04-12,2182424161.074829,4648413416.166183
2024-04-15,1672679708.8882446,3341399461.5951157
2024-04-16,1263465775.0,2454942110.001522
2024-04-17,1828302915.7161715,3492659038.25811
2024-04-18,1287055449.458313,2591048127.6178627
2024-04-19,1276361625.2670288,2368842731.4133186
2024-04-22,1133390132.118988,2187187412.8605804
2024-04-23,665990196.8132019,1281546766.4162064
2024-04-24,1171600975.0900269,2562843167.871044
2024-04-25,933188321.4523315,1945429828.633419
2024-04-26,734608313.8275146,1576304757.0783997
2024-04-29,778196039.8273468,1417532471.2846298
2024-04-30,1395984938.3094788,2867479340.120102
2024-05-01,1470687356.286621,3042713334.134903
2024-05-02,782344922.3407745,1731170519.0655823
2024-05-03,933437860.2348328,1896530816.230133
2024-05-06,978269220.401764,1816217451.8762398
2024-05-07,530086073.50234985,1187493335.325714
2024-05-08,505145041.2502289,997783463.8713837
2024-05-09,602372988.999939,1359432982.110569
2024-05-10,1002335933.0749512,2035768743.3473969
2024-05-13,619376400.0,1217203343.884678
2024-05-14,481956484.8060608,977683376.6483955
2024-05-15,1526335587.8082275,3055477255.2724304
2024-05-16,820721548.7098694,1486733102.596012
2024-05-17,976786900.8514404,1784959049.8416176
2024-05-20,1310560382.0251465,2519566444.246361
2024-05-21,1179174180.46875,2228516783.6210403
2024-05-22,816707609.1705322,1604015539.3108444
2024-05-23,915946536.9560242,1720920459.527111
2024-05-24,785684095.7710266,1648129434.7112274
2024-05-28,768030726.9805908,1613498366.8525124
2024-05-29,562365155.5213928,1144370288.8481636
2024-05-30,1012994792.0528412,1955442906.362915
2024-05-31,892228167.3419952,1732705378.0879517
2024-06-03,1090673722.0230105,1776270281.7463
2024-06-04,1629676740.7150269,2788537289.9096603
2024-06-05,1260672335.2416992,2091272649.9055557
2024-06-06,810950876.9187927,1433473972.4444199
2024-06-07,1407699960.6124878,2514441201.8489075
2024-06-10,619421183.3873749,1095524024.036007
2024-06-11,1129953455.973053,1991733893.1167603
2024-06-12,1058090190.9950256,2114959939.7120476
2024-06-13,942137187.9310608,1779594285.6875381
2024-06-14,832125682.9795837,1750294585.190773
2024-06-17,675497079.8583984,1249445491.5865707
2024-06-18,944513232.2662354,1691282340.1062584
2024-06-20,565641557.9811096,1162433121.4792023
2024-06-21,764975630.291748,1314667376.0219803
2024-06-24,1573347676.5594482,2897828341.04158
2024-06-25,1101660026.189804,2210046422.285614
2024-06-26,452153274.0737915,921407363.0661392
2024-06-27,517312217.2302246,914603423.0036011
2024-06-28,625209222.8225708,1297994370.1350403
