date,close,shares_volume,dollar_volume
2024-03-25,20.170000076293945,890900,17969453.067970276
2024-03-26,19.719999313354492,1749200,34494222.79891968
2024-03-27,19.479999542236328,790600,15400887.638092041
2024-03-28,20.1299991607666,560300,11278838.529777527
2024-04-01,19.790000915527344,561800,11118022.514343262
2024-04-02,18.709999084472656,781800,14627477.284240723
2024-04-03,18.68000030517578,311500,5818820.095062256
2024-04-04,19.450000762939453,648800,12619160.494995117
2024-04-05,19.1200008392334,379300,7252216.318321228
2024-04-08,20.360000610351562,306500,6240340.187072754
2024-04-09,19.559999465942383,591100,11561915.684318542
2024-04-10,19.8799991607666,325500,6470939.726829529
2024-04-11,19.989999771118164,253600,5069463.941955566
2024-04-12,18.969999313354492,942300,17875430.352973938
2024-04-15,17.959999084472656,503400,9041063.539123535
2024-04-16,17.799999237060547,402500,7164499.69291687
2024-04-17,17.299999237060547,951700,16464409.273910522
2024-04-18,18.010000228881836,439100,7908191.100502014
2024-04-19,18.260000228881836,432300,7893798.098945618
2024-04-22,18.8700008392334,349900,6602613.293647766
2024-04-23,18.8700008392334,287900,5432673.241615295
2024-04-24,18.1299991607666,1163300,21090628.023719788
2024-04-25,18.34000015258789,634400,11634896.096801758
2024-04-26,18.06999969482422,579400,10469757.823181152
2024-04-29,17.84000015258789,235200,4195968.035888672
2024-04-30,16.729999542236328,656000,10974879.699707031
2024-05-01,16.1299991607666,658400,10619991.44744873
2024-05-02,16.84000015258789,2800200,47155368.42727661
2024-05-03,17.6299991607666,571200,10070255.520629883
2024-05-06,17.90999984741211,292400,5236883.955383301
2024-05-07,17.889999389648438,432500,7737424.736022949
2024-05-08,17.6200008392334,285000,5021700.239181519
2024-05-09,17.709999084472656,473800,8390997.566223145
2024-05-10,17.209999084472656,1271300,21879071.836090088
2024-05-13,17.90999984741211,361700,6478046.94480896
2024-05-14,17.459999084472656,126300,2205197.8843688965
2024-05-15,18.729999542236328,975800,18276733.55331421
2024-05-16,18.479999542236328,364300,6732263.833236694
2024-05-17,19.010000228881836,173400,3296334.0396881104
2024-05-20,19.8799991607666,286600,5697607.759475708
2024-05-21,19.649999618530273,125500,2466074.9521255493
2024-05-22,19.760000228881836,133700,2641912.0306015015
2024-05-23,19.040000915527344,196000,3731840.1794433594
2024-05-24,19.610000610351562,149700,2935617.091369629
2024-05-28,19.389999389648438,209000,4052509.8724365234
2024-05-29,19.059999465942383,38000,724279.9797058105
2024-05-30,19.469999313354492,144600,2815361.9007110596
2024-05-31,19.170000076293945,117200,2246724.0089416504
2024-06-03,19.6200008392334,178300,3498246.149635315
2024-06-04,19.969999313354492,198900,3972032.8634262085
2024-06-05,20.200000762939453,129500,2615900.098800659
2024-06-06,19.989999771118164,46000,919539.9894714355
2024-06-07,19.6299991607666,167600,3289987.8593444824
2024-06-10,19.690000534057617,76200,1500378.0406951904
2024-06-11,19.110000610351562,139900,2673489.0853881836
2024-06-12,19.1299991607666,305300,5840388.743782043
2024-06-13,18.860000610351562,154200,2908212.094116211
2024-06-14,18.559999465942383,163500,3034559.9126815796
2024-06-17,18.889999389648438,140800,2659711.9140625
2024-06-18,18.239999771118164,247900,4521695.943260193
2024-06-20,18.43000030517578,142400,2624432.0434570312
2024-06-21,18.200000762939453,158500,2884700.1209259033
2024-06-24,16.799999237060547,411900,6919919.685745239
2024-06-25,17.549999237060547,494700,8681984.622573853
2024-06-26,17.280000686645508,86500,1494720.0593948364
2024-06-27,17.389999389648438,136300,2370256.916809082
2024-06-28,16.989999771118164,228400,3880515.9477233887
2024-07-01,17.90999984741211,320000,5731199.951171875
2024-07-02,17.530000686645508,143600,2517308.098602295
2024-07-03,17.1200008392334,168900,2891568.141746521
2024-07-05,16.010000228881836,392800,6288728.089904785
2024-07-08,16.010000228881836,504200,8072242.115402222
2024-07-09,16.3799991607666,474500,7772309.601783752
2024-07-10,16.270000457763672,2401000,39064271.099090576
2024-07-11,16.270000457763672,179700,2923719.082260132
2024-07-12,16.34000015258789,274500,4485330.041885376
2024-07-15,17.979999542236328,515700,9272285.763931274
2024-07-16,18.479999542236328,225000,4157999.897003174
2024-07-17,18.299999237060547,101500,1857449.9225616455
2024-07-18,18.010000228881836,96700,1741567.0221328735
2024-07-19,19.040000915527344,513800,9782752.47039795
2024-07-22,19.34000015258789,201000,3887340.030670166
2024-07-23,18.579999923706055,389300,7233193.970298767
2024-07-24,18.610000610351562,196600,3658726.119995117
2024-07-25,18.31999969482422,334200,6122543.898010254
2024-07-26,19.290000915527344,210200,4054758.1924438477
2024-07-29,19.06999969482422,378900,7225622.8843688965
2024-07-30,18.670000076293945,93900,1753113.0071640015
